lat,long,date,tmin,tmax,prec,ws,rhmin,rhmax,site
52.17012,0.170257,2001-06-19,9.82691177634541,19.6775990707894,0,4.09436351469964,62.5990358726746,83.6047834988598,Beechwoods
52.17012,0.170257,2001-06-20,11.8320375629112,20.0686503918097,0,4.15085466775324,61.8349579229351,67.9170499648783,Beechwoods
52.17012,0.170257,2001-06-21,9.46475743741928,16.5102583375714,0,3.50432537117317,62.0603505051782,79.8573860499219,Beechwoods
52.17012,0.170257,2001-06-22,10.9030330472472,15.5021758282485,0,2.41126056191933,69.0718149335824,80.6321369852692,Beechwoods
52.17012,0.170257,2001-06-23,9.32014101111355,16.7954852846147,0,1.73441381698791,66.1594936821465,93.7481423025538,Beechwoods
52.17012,0.170257,2001-06-24,11.302876721354,21.1101582832544,0,2.30246484104147,62.8710812944772,90.4331247544816,Beechwoods
52.17012,0.170257,2001-06-25,13.4647308939835,23.7525663366128,0,3.17837175598963,54.4661371038606,81.4137623834724,Beechwoods
52.17012,0.170257,2001-06-26,14.5569493387562,22.6300221787876,0,4.75777637483614,59.3337887521541,75.3429768713773,Beechwoods
52.17012,0.170257,2001-06-27,15.9369235478911,22.6415811889773,7.78698890861525,4.08547545531995,62.7816924915247,73.8662398577152,Beechwoods
52.17012,0.170257,2001-06-28,13.0448875236851,21.1910121048919,0,4.899349125644,60.0854157433603,85.5448886299372,Beechwoods
52.17012,0.170257,2001-06-29,13.9693799832432,22.0657788193514,0.946832451170694,5.7846943712991,62.5413317137495,83.5777024195182,Beechwoods
52.17012,0.170257,2001-06-30,15.1911034485808,21.142415661677,0,4.88602323127407,63.8488099004535,67.7278810058809,Beechwoods
52.17012,0.170257,2001-07-01,13.421018838217,21.5688137366704,0,3.10516607766666,68.5466972322219,84.8482868969299,Beechwoods
52.17012,0.170257,2001-07-02,14.369511257685,23.2530687434115,0,0.970072590274001,66.9883956547489,94.4008933384378,Beechwoods
52.17012,0.170257,2001-07-03,16.9158480093367,22.9275656285915,0,4.33989973451251,63.4278231737965,81.4367311538967,Beechwoods
52.17012,0.170257,2001-07-04,16.403211320099,23.3357282822191,0,4.58578474137822,58.089740306212,79.3458412980549,Beechwoods
52.17012,0.170257,2001-07-05,15.4683018382508,24.7810798259197,0.555664004522791,3.66637018368451,60.3337731474248,84.457691052382,Beechwoods
52.17012,0.170257,2001-07-06,16.3923631210102,21.1819403191548,7.2119213700346,1.58069916281226,80.2522552812747,96.4150155875885,Beechwoods
52.17012,0.170257,2001-07-07,15.3839680922989,18.8870075738325,10.897881338857,2.74480274394681,90.4954204377124,97.8895833850592,Beechwoods
52.17012,0.170257,2001-07-08,15.1130271571034,20.2383485010753,2.00775494915028,4.11201537484914,73.6037113839854,78.6037113839854,Beechwoods
52.17012,0.170257,2001-07-09,13.6320270426242,18.778346446499,1.36399306737695,3.81151395659983,70.9395148925277,76.0705286381829,Beechwoods
52.17012,0.170257,2001-07-10,13.6970114689876,19.1232696202214,3.50644506227345,6.00584328593632,63.4152525269531,68.4152525269531,Beechwoods
52.17012,0.170257,2001-07-11,12.9742772151947,17.712235219598,1.3234458673748,8.52421824655959,59.4845677252936,67.9249801596851,Beechwoods
52.17012,0.170257,2001-07-12,11.892583661876,17.7940774600377,1.49510787938639,6.30341738375899,61.4779769475213,70.9774317041379,Beechwoods
52.17012,0.170257,2001-07-13,11.311423209678,17.3231106385426,4.41075771806307,3.52885456754289,68.3870138762158,81.7774923045152,Beechwoods
52.17012,0.170257,2001-07-14,8.82422158321697,17.5274976804412,1.93878160202315,2.17626051114995,59.2698564803439,88.1113883825033,Beechwoods
52.17012,0.170257,2001-07-15,9.05634707531073,16.7206401691521,1.45286866501224,2.40289864020268,62.9856855500382,82.6544969879749,Beechwoods
